str:bruno jose maria  int:-10 -4 4  float:-0.00 3.00 9.00  p:(3.8,1.3) (-4.8,-4.2) 
str:ana bruno bruno maria  int:-3 6  float:-7.10 4.90 9.80  p:(-2.7,-0.2) (-2.5,3.5) 
str:carlos lucas maria  int:-8 -5 0  float:5.60 8.60  p:(0.9,-2.8) (0.6,4.3) 
str:bruno joao  int:-1 1 4 4  float:-9.50 -8.60 9.70  p:(-0.8,0.8) (-1.2,3.1) 
str:juliana paula  int:4 5  float:0.30  p:(-3.4,1.7) 
str:clara jose  int:-10 -6 -1  float:-9.10  p:(2.1,2.1) 
str:bruno joao lucas  int:-8 0 8  float:4.80 6.60  p:(-3.1,4.9) 
str:juliana rafaela  int:-9 -5 5  float:-5.50  p:(0.2,1.9) 
str:bruno henrique julia paula  int:-4 -3  float:-7.60  p:(0.5,1.8) (-3.2,4.6) 
str:bruno rafaela  int:-4 1  float:-9.70 -4.80 -2.80  p:(-2.0,-1.3) 
str:ana julia lucas  int:-8 -3 7  float:7.10  p:(2.0,1.4) 
str:henrique joao jose juliana  int:-10 3 9  float:-7.90 -6.10  p:(-3.1,2.2) 
str:jose juliana maria  int:-9 -8 -6 7  float:9.80  p:(1.1,2.1) (-4.4,0.2) 
str:carlos maria  int:-10 -9 -3 1  float:-9.60 -2.20 -1.40  p:(1.8,1.4) (-2.3,-1.3) 
str:carlos joao  int:-9 -4 7 8  float:-9.20  p:(-0.8,-3.0) (4.7,-2.3) 
str:julia juliana lucas paula  int:2 5  float:-7.10 -2.60 -0.40  p:(-4.5,-0.4) 
str:carlos lucas  int:4 7 8  float:-4.40 -2.10  p:(-4.6,1.0) 
str:ana clara joao jose  int:-6 -5 -2 4  float:-6.00 -3.30 6.90  p:(-2.9,4.0) (-4.8,-3.1) 
str:clara paula  int:1 2 2  float:-3.90 8.60  p:(-0.4,1.1) (-2.3,3.5) 
str:carlos julia paula  int:-8 7 8  float:-3.10 1.60  p:(1.2,4.2) 
str:bruno henrique joao rafaela  int:-3 6  float:-5.60 7.10  p:(2.2,-2.8) (-2.0,-4.1) 
str:henrique lucas  int:0 0  float:-2.90  p:(3.7,-0.3) 
str:joao julia lucas  int:-4 3  float:5.20  p:(-1.5,0.5) (3.2,-3.2) 
str:henrique jose  int:0 8 10  float:-9.20 -0.20  p:(4.0,4.9) 
str:bruno carlos juliana juliana  int:-10 3 5 9  float:8.20  p:(-0.1,-3.5) (-2.0,-3.3) 
str:bruno carlos henrique jose  int:1 9 10  float:-8.50 -7.20 2.00  p:(-4.6,-4.0) 
str:bruno clara jose lucas  int:-7 -7 -5 0  float:-5.90  p:(0.7,2.8) 
str:bruno lucas rafaela rafaela  int:-7 5  float:-9.00 7.20  p:(1.5,-4.8) 
str:maria paula  int:-3 -2 2 4  float:-0.30 1.30 3.30  p:(-4.1,-1.5) 
str:clara julia rafaela  int:-7 -5 0 0  float:-6.40 -4.00 -1.60  p:(1.9,1.3) 
